"ID","Type","Name","Documentation","Specialization"
"id-7a43c9a733694e1faeaacddbdf1734af","Capability","Data Citation and Attribution (copy)","Knowledge in assigning proper citations and credit for datasets, ensuring that data creators are appropriately acknowledged in research outputs.",""
"id-f3e9121bf2ab42fd9536f4ccb294a279","Capability","Data Curation","Skills in managing and preserving datasets over time, including the selection, organization, and validation of research data for long-term use.",""
"id-4653489684474149aaa47428f978af34","Capability","Data Curation (copy)","Skills in managing and preserving datasets over time, including the selection, organization, and validation of research data for long-term use.",""
"id-87c14457d9344b0dba1674b0a3aed0fe","Capability","Data Discovery Architecture","Skills in designing infrastructures that allow researchers and other stakeholders to find and access relevant datasets",""
"id-3d5c8126ed5e4a869a247e4345f7ad79","Capability","Data Discovery Architecture (copy)","Skills in designing infrastructures that allow researchers and other stakeholders to find and access relevant datasets",""
"id-f85f612b24764b0cb07f29d208447ce8","Capability","Data Encryption","Skills in applying encryption techniques to protect data at rest and in transit, ensuring its confidentiality and integrity.",""
"id-e302d3138b594b169331ee0a60ce149c","Capability","Data Encryption (copy)","Skills in applying encryption techniques to protect data at rest and in transit, ensuring its confidentiality and integrity.",""
"id-1ffe206f31e14e9c91c437fd7e4e5108","Capability","Data Engineering","",""
"id-b14b5061efbf4c668592164cd4701288","Capability","Data Engineering","Skills needed to build, optimize, and manage the systems and pipelines that store, process, and analyze research data. ",""
"id-ef0df9bf75d94dcab3bed5303b4361b9","Capability","Data Engineering (copy)","Skills needed to build, optimize, and manage the systems and pipelines that store, process, and analyze research data. ",""
"id-a2e560a54d95435fb7cee609c2ab5be4","Capability","Data Ethics","Expertise in ensuring that data collection, use, and dissemination uphold ethical standards, particularly when handling sensitive or personal data.",""
"id-a978021dd1914b6ea4f94fad81e5b392","Capability","Data Ethics (copy)","Expertise in ensuring that data collection, use, and dissemination uphold ethical standards, particularly when handling sensitive or personal data.",""
"id-c7c229b3f9604a7c90a1bbdacb966584","Capability","Data Licensing","Understanding various types of data licenses (e.g., open, restricted) and applying them to protect intellectual property while enabling appropriate data sharing.",""
"id-937a709069c4469fa7c4cb7a7c3f7eff","Capability","Data Licensing (copy)","Understanding various types of data licenses (e.g., open, restricted) and applying them to protect intellectual property while enabling appropriate data sharing.",""
"id-b7af6d7507e54cd38b388608b154b89b","Capability","Data Lineage","Experise in defining data workflows that preserves the history and lineage of the data to maintain accountability and transparency in data use.",""
"id-82ed28c14a8c4a07993f512bb429f722","Capability","Data Lineage (copy)","Experise in defining data workflows that preserves the history and lineage of the data to maintain accountability and transparency in data use.",""
"id-ef47e07c507a48d3bd3bb77d0df4d04e","Capability","Data Policies","Knowledge of creating and enforcing institutional data policies that govern the collection, storage, sharing, and use of data.",""
"id-6106f4a22ef04f05940a12bd0362f9cb","Capability","Data Policies (copy)","Knowledge of creating and enforcing institutional data policies that govern the collection, storage, sharing, and use of data.",""
"id-5ca4f7a69bcd42238e141705e5b91772","Capability","Data Preservation","Expertise to protect data from being lost or destroyed using national guidelines and research domain spesific best practices",""
"id-2779ec81376d4b5f97f03dc958cadb1e","Capability","Data Processing","The capability to design, optimize, and run data processing workflows that clean, transform, and analyze raw data for domain-spesific research purposes. ",""
"id-4c5c92c340a14d97a7604c436f867fd8","Capability","Data Processing (copy)","The capability to design, optimize, and run data processing workflows that clean, transform, and analyze raw data for domain-spesific research purposes. ",""
"id-f2b30f99ea0d4d2ab51699242871845d","Capability","Data Publication","",""
"id-2fac2a4a728346e7a5e5abeb31d69364","Capability","Data Quality","Expertise in ensuring the accuracy, completeness, and consistency of data throughout its lifecycle, including the identification and resolution of data quality issues.",""
"id-57d71b67754241268cad3f46ab107c67","Capability","Data Quality (copy)","Expertise in ensuring the accuracy, completeness, and consistency of data throughout its lifecycle, including the identification and resolution of data quality issues.",""
"id-dfdd74d1ea4e427293b3a0f91a25ec64","Capability","Data Rights and Legal Compliance","The knowledge and practices required to ensure that research data is managed and shared according to applicable laws, licenses, regulations and ethical guidelines.",""
"id-f4f21951fced4828b5edae4106b0718a","Capability","Data Rights and Legal Compliance (copy)","The knowledge and practices required to ensure that research data is managed and shared according to applicable laws, licenses, regulations and ethical guidelines.",""
"id-de7b342f1d4a4483a3089516cb6932f0","Capability","Data Security","Expertise in implementing security measures, including encryption, access controls, and monitoring, to protect research data from unauthorized access or breaches.",""
"id-603b3231a1b141e29b8959a5794b1be4","Capability","Data Security (copy)","Expertise in implementing security measures, including encryption, access controls, and monitoring, to protect research data from unauthorized access or breaches.",""
"id-b6936fa37d594b098ac7a79764571362","Capability","Data Stewardship","",""
"id-ad548d0fe72f4c7f8766cd8e754ce008","Capability","Data Stewardship","The capability to oversee data throughout its lifecycle, ensuring it remains accurate, accessible, and aligned with institutional policies. Skills in managing the various stages of the data lifecycle (collection, generation, gathering, processing, analysis, publication, sharing, preservation, archiving, disposal, reuse).",""
"id-9a6ecd006a9741a3b9c8ff9a4cce7db6","Capability","Data Stewardship (copy)","The capability to oversee data throughout its lifecycle, ensuring it remains accurate, accessible, and aligned with institutional policies. Skills in managing the various stages of the data lifecycle (collection, generation, gathering, processing, analysis, publication, sharing, preservation, archiving, disposal, reuse).",""
"id-622a90b1a9384b7abe96ae1438cf677b","Capability","Data Valuation and Meritation","Expertise in creating policies and evaluating the value of data based on its quality, relevance, and potential for reuse within research contexts and across domains.",""
"id-f52740e96c534c318020ea912304b074","Capability","Data Valuation and Meritation (copy)","Expertise in creating policies and evaluating the value of data based on its quality, relevance, and potential for reuse within research contexts and across domains.",""
"id-782b35f31520404a96c1d76b984b76b2","Capability","Data Versioning and Provenance","Expertise in creating metadata for tracking changes to datasets over time and ensuring a record of their origin, modifications, and history.",""
"id-658d0e2fd6994c5ab9fab5a219251803","Capability","Data Versioning and Provenance (copy)","Expertise in creating metadata for tracking changes to datasets over time and ensuring a record of their origin, modifications, and history.",""
"id-49a42c9610314fa0ba996ac403b9d66e","Capability","Data Visualization","Skills in visualizing large datasets and generating insightful reports, allowing researchers to easily interpret and communicate their findings.",""
"id-848180646b3f41ea9477c023e68ea991","Capability","Data Visualization (copy)","Skills in visualizing large datasets and generating insightful reports, allowing researchers to easily interpret and communicate their findings.",""
"id-e194addcd6ed4bac8f5411823de676d6","Capability","Database Management","The capability to design, implement, and maintain efficient and secure databases that store and organize research data.",""
"id-24e1bc1904bf4223b612efce8c5e4741","Capability","Database Management (copy)","The capability to design, implement, and maintain efficient and secure databases that store and organize research data.",""
"id-5d556ffc08794197b8f0ffd211593b91","Capability","Domain Architectures","Knowledge of designing domain specific data architectures tailored to particular research area, ensuring that reasearch area specific needs are met.",""
"id-dcbd87e3fc81499995e688e175e2ea5a","Capability","Domain Architectures (copy)","Knowledge of designing domain specific data architectures tailored to particular research area, ensuring that reasearch area specific needs are met.",""
"id-3578c5ac86f04bd4b73d0997f59f6209","Capability","Edge Computing","Skills in processing data at the edge of the network, close to the data source, reducing latency and enhancing the efficiency of real-time data analysis.",""
"id-eb83cb1e16a24a20a60f18987a267e77","Capability","Edge Computing (copy)","Skills in processing data at the edge of the network, close to the data source, reducing latency and enhancing the efficiency of real-time data analysis.",""
"id-6cc6d10a00f8434884c13b73f85b730c","Capability","FAIR Principles","Expertise in applying the principles of Findability, Accessibility, Interoperability, and Reusability to research data management practices.",""
"id-787d42b9370445e5b2caf5b85a5e8337","Capability","FAIR Principles (copy)","Expertise in applying the principles of Findability, Accessibility, Interoperability, and Reusability to research data management practices.",""
"id-ca89a011d6d44191921e3035a9b99d9f","Capability","Green Data Architecture","Knowledge of designing energy-efficient data systems that minimize environmental impact, promoting sustainability in research infrastructures.",""
"id-b6784cd8c4a246719479ce4d1465b630","Capability","Green Data Architecture (copy)","Knowledge of designing energy-efficient data systems that minimize environmental impact, promoting sustainability in research infrastructures.",""
"id-9a39d3188be54778a781a8ed15f70253","Capability","Information Architecture","Expertise needed to design FAIR information architectures that enhances data usability, findability, accessibility and interoperability.",""
"id-6e62d25fb6024f08899ef2277727c577","Capability","Information Architecture (copy)","Expertise needed to design FAIR information architectures that enhances data usability, findability, accessibility and interoperability.",""
"id-2e902bfd749d4fb18dd4d027ee67d7c5","Capability","Infrastructure scalability","Competencies in designing and maintaining infrastructures that can scale up to accommodate growing data volumes and increased complexity.",""
"id-baae3b266fa84c24811c79890c1df1c4","Capability","Infrastructure scalability (copy)","Competencies in designing and maintaining infrastructures that can scale up to accommodate growing data volumes and increased complexity.",""
"id-a3de48cda33343bdb4cf68db01d819df","Capability","Integration Development","The ability to integrate disparate data systems and tools, ensuring seamless interaction and data exchange across platforms and applications.",""
"id-db1346c6d9b04c7f8b7f675663579471","Capability","Integration Development (copy)","The ability to integrate disparate data systems and tools, ensuring seamless interaction and data exchange across platforms and applications.",""
"id-5582883d01d14e8586efb30cc9e9dc61","Capability","Intellectual Property Rights","Skills in understanding, protecting and managing intellectual property rights related to data ownership and usage within the framework of research.",""
"id-7201025cdab1400e9c3633215d83ee83","Capability","Intellectual Property Rights (copy)","Skills in understanding, protecting and managing intellectual property rights related to data ownership and usage within the framework of research.",""
"id-5e1be14e39c54792b454f7c165a1f79d","Capability","Interoperability","",""
"id-eeb45c4bb12a41d9a9dda619010d9a7f","Capability","Interoperability and Standards","Knowledge of relevant data standards within specific fields and understanding and applying of generic data standards (such as W3C standards, ISO, etc.) to ensure that datasets can be exchanged and understood across different systems and disciplines.",""
"id-49f5ba9c2b0a408f888737c6bd4ea4bc","Capability","Interoperability and Standards (copy)","Knowledge of relevant data standards within specific fields and understanding and applying of generic data standards (such as W3C standards, ISO, etc.) to ensure that datasets can be exchanged and understood across different systems and disciplines.",""
"id-ca26f5f1d38746db97f05f2d725e03f4","Capability","Interoperability Frameworks","Expertise in designing and implementing architectures that ensure seamless data exchange and compatibility between different systems, platforms, and formats. Ensuring that data management systems can interact with other systems, allowing secure data exchange and cross-collaboration. Capability to co-develop data specifications supporting interoperability within and across research domains. Readiness to apply recommendations and standards, and participate in national and international standardization organizations.

",""
"id-39ed85555eaa41baae9ed655b1387c59","Capability","Interoperability Frameworks (copy)","Expertise in designing and implementing architectures that ensure seamless data exchange and compatibility between different systems, platforms, and formats. Ensuring that data management systems can interact with other systems, allowing secure data exchange and cross-collaboration. Capability to co-develop data specifications supporting interoperability within and across research domains. Readiness to apply recommendations and standards, and participate in national and international standardization organizations.

",""
"id-29b1c37f61f94d2dbaa98dc68a6dece2","Capability","Legal Framework","Knowledge of relevant laws and regulations governing data use, such as GDPR, copyright law, and privacy policies, ensuring compliance in the research domain.",""
"id-dad343a48d9c4823a11820a4555fabf1","Capability","Legal Framework (copy)","Knowledge of relevant laws and regulations governing data use, such as GDPR, copyright law, and privacy policies, ensuring compliance in the research domain.",""
"id-5923835d61754ee8b8bdfc601fca229b","Capability","Master and Reference Data Architecture","The ability to ensure the consistency, accuracy, and integrity of master data across multiple systems, datasets and research projects. Expertise in organizing and managing reference datasets, which provide consistent data for use across research projects and domains.",""
"id-21ac772d51324ad8b471fa3ad79b30b4","Capability","Master and Reference Data Architecture (copy)","The ability to ensure the consistency, accuracy, and integrity of master data across multiple systems, datasets and research projects. Expertise in organizing and managing reference datasets, which provide consistent data for use across research projects and domains.",""
"id-31fe31dc2f194692834381d5daaf7c9a","Capability","Master Data Management (copy)","The ability to ensure the consistency, accuracy, and integrity of master data across multiple datasets and research projects.",""
"id-c93cacbf865f41949a37064d62e5fbb1","Capability","Metadata Architecture","Expertise needed to develop and manage metadata that support the effective discovery, interpretation, use and reuse of research data.",""
"id-8449e9074dcc44e2b97c8d602f2dc273","Capability","Metadata Architecture (copy)","Expertise needed to develop and manage metadata that support the effective discovery, interpretation, use and reuse of research data.",""
"id-68fc7f28bab4477f83e0ea69d2e0d083","Capability","Metadata Harmonization and Crosswalks","Skills in building harmonizing architectures and reconciling and mapping different metadata schemas across disciplines, promoting interoperability and cross-disciplinary research.",""
"id-7caf430833f94e47baf78c54f05b5a7d","Capability","Metadata Harmonization and Crosswalks (copy)","Skills in building harmonizing architectures and reconciling and mapping different metadata schemas across disciplines, promoting interoperability and cross-disciplinary research.",""
"id-79cf5bb7ab1f4bf6a87b62076dfbde5d","Capability","MyData","",""
"id-a74a08ca7ea7453d85a97aa0c5fe3837","Capability","MyData Principles","Skills in managing personal data with a user-centric approach, allowing individuals to control the usage, sharing, and storage of their data.",""
"id-98e6839682af4d81a0c488181dc5f709","Capability","MyData Principles (copy)","Skills in managing personal data with a user-centric approach, allowing individuals to control the usage, sharing, and storage of their data.",""
"id-1d40e44146e94df995f9e2b15aa19a3b","Capability","Ontology Development","Knowledge of creating and managing ontologies and linked data to facilitate understanding, data categorization and interoperability.",""
"id-76e1870bcb0b426e9ce55b78516a995c","Capability","Ontology Development (copy)","Knowledge of creating and managing ontologies and linked data to facilitate understanding, data categorization and interoperability.",""
"id-e4a927f0c82b4e09828df3f009d25d59","Capability","Persistent Identifiers","The ability to assign and manage unique, permanent identifiers (e.g., DOI, ORCID) to datasets, ensuring long-term findability and reference. The use of persistent identifiers enhances data management and enables, for example, the formation of knowledge graphs and supports the repeatability and automation of research.",""
"id-7b7bbf3a175b46cfaf0fb5fde0375c40","Capability","Persistent Identifiers (copy)","The ability to assign and manage unique, permanent identifiers (e.g., DOI, ORCID) to datasets, ensuring long-term findability and reference. The use of persistent identifiers enhances data management and enables, for example, the formation of knowledge graphs and supports the repeatability and automation of research.",""
"id-9cf545de5bfe4819a86c6aceaabe2951","Capability","Preservation Architecture","Expertise in designing infrastructure for the long-term storage and preservation of datasets, ensuring their availability for future use.",""
"id-714b2a1542d74384b6872e82d608da2d","Capability","Preservation Architecture (copy)","Expertise in designing infrastructure for the long-term storage and preservation of datasets, ensuring their availability for future use.",""
"id-27a9768187094d538d3f6947ce493e26","Capability","Project Funding","Skills in identifying funding opportunities, writing grant applications, and securing financial support for research projects and data infrastructure.",""
"id-c3cb85eb2ec34e1c90ca74a2b74fb70a","Capability","Project Funding (copy)","Skills in identifying funding opportunities, writing grant applications, and securing financial support for research projects and data infrastructure.",""
"id-cfdbae2759b343a39957116133ad9b65","Capability","Project planning","The capability to define research objectives, timelines, resources and requirements, ensuring efficient execution and alignment with institutional goals and funding agencies requirements.",""
"id-f68f58c0b8df4ea7a1790bea59487cb9","Capability","Project planning (copy)","The capability to define research objectives, timelines, resources and requirements, ensuring efficient execution and alignment with institutional goals and funding agencies requirements.",""
"id-60c0580c6227424eb397d51843b3d983","Capability","Real-Time Data Processing","Expertise in processing streaming data in real-time, useful in fields like sensor data analysis or financial research.",""
"id-26641739d4184808934679a10b63ff6c","Capability","Real-Time Data Processing (copy)","Expertise in processing streaming data in real-time, useful in fields like sensor data analysis or financial research.",""
"id-68713762d8d347fcb20aabe8fee860af","Capability","Reproducible Research","The ability to design research workflows and processes that allow for data and research findings to be consistently reproduced by others, promoting transparency.",""
"id-5f607401a8d94a2c8c34b03494e2b8c0","Capability","Reproducible Research (copy)","The ability to design research workflows and processes that allow for data and research findings to be consistently reproduced by others, promoting transparency.",""
"id-43f02b66008544b3ac6250e3fcdb4608","Capability","Research Data Governance","Planning data management to support the research process. Capability to comprehensively develop support processes and services toward interoperable data management planning and guidance. Requires collaboration between organizations providing support services at both local and national levels.

Research Data Governance encompasses the skills and knowledge required to establish and enforce policies, procedures, and frameworks that govern the management of research data. It ensures that data is handled responsibly, ethically, and in compliance with legal and institutional standards. Key areas include risk management, policy development, data valuation, and fostering collaborations within and outside institutions. Governance ensures that data is used effectively, securely, and sustainably, supporting long-term research goals and data stewardship.",""
"id-5f7b4e1b2a314eab869f53d92649a072","Capability","Research Data Governance (copy)","Planning data management to support the research process. Capability to comprehensively develop support processes and services toward interoperable data management planning and guidance. Requires collaboration between organizations providing support services at both local and national levels.

Research Data Governance encompasses the skills and knowledge required to establish and enforce policies, procedures, and frameworks that govern the management of research data. It ensures that data is handled responsibly, ethically, and in compliance with legal and institutional standards. Key areas include risk management, policy development, data valuation, and fostering collaborations within and outside institutions. Governance ensures that data is used effectively, securely, and sustainably, supporting long-term research goals and data stewardship.",""
"id-382b11b7d8d546c9bf8eb22da4d12808","Capability","Research Data Management","Capability to produce and manage data throughout the research process, ensuring sufficient information on the origin and lifecycle of the data. Research data is managed throughout its lifecycle, ensuring its controlled collection, creation, sharing, storage, archiving, destruction, and publication.",""
"id-02711e20a05444d3a7b33da5adfcc363","Capability","Research Data Management","",""
"id-371f5b966910416c8a2a6f1279b7be34","Capability","Research Data Management (copy)","Capability to produce and manage data throughout the research process, ensuring sufficient information on the origin and lifecycle of the data. Research data is managed throughout its lifecycle, ensuring its controlled collection, creation, sharing, storage, archiving, destruction, and publication.",""
"id-d6c554866a634b4f95630701f35a931a","Capability","Research Data Process Development","Expetise to design, optimize, and implement processes that support the full lifecycle of research data. ",""
"id-ae9db20cd1eb4095bc6d25b65665f4e2","Capability","Research Data Process Development (copy)","Expetise to design, optimize, and implement processes that support the full lifecycle of research data. ",""
"id-ff982b27c376480987fffd219dec06b1","Capability","Research Dataset Metadata","Skills in creating and managing metadata (DCAT, DataCite, etc.) that accurately describes research datasets, improving their accessibility and reusability.
",""
"id-3ff3bf7de3eb476c8a388af5c4a4acbb","Capability","Research Dataset Metadata (copy)","Skills in creating and managing metadata (DCAT, DataCite, etc.) that accurately describes research datasets, improving their accessibility and reusability.
",""
"id-e781a6c746a54caea488cc854278cb86","Capability","Research Infrastructure Architecture","Expertise needed to design, build, and maintain the physical and digital architectures that support research data management in different research domains",""
"id-0d1d419e56824169898ca8cbd9e9fa6a","Capability","Research Infrastructure Architecture (copy)","Expertise needed to design, build, and maintain the physical and digital architectures that support research data management in different research domains",""
"id-14241a891ccc4ad3af19cafb3437a9ef","Capability","Research Methods","Understanding a variety of quantitative and qualitative research methodologies and how data management is embedded within these methods.",""
"id-0823d941e44245339bf5723f546ba0eb","Capability","Research Methods (copy)","Understanding a variety of quantitative and qualitative research methodologies and how data management is embedded within these methods.",""
"id-6890fd62f34b4ee9b5668e9127d3eccb","Capability","Research Networking and Collaboration","Capability to leverage national and international collaboration to advance data management. Skills to foster partnerships between researchers, institutions, and other stakeholders to facilitate the exchange of knowledge and data. ",""
"id-1dc15be77722459d934d91aa7ed6b573","Capability","Research Networking and Collaboration (copy)","Capability to leverage national and international collaboration to advance data management. Skills to foster partnerships between researchers, institutions, and other stakeholders to facilitate the exchange of knowledge and data. ",""
"id-4520c07223f8499195f0f8e76de51132","Capability","Research, Development and Innovation","Capability to commercialize research results, especially research data.",""
"id-9c8571ae50904d9fa54e64513ea2fac8","Capability","Research, Development and Innovation (copy)","Capability to commercialize research results, especially research data.",""
"id-3c6e8e1321a64c2fb3b5470a5c4078b0","Capability","Risk Management","Ability to identify, assess, and mitigate risks related to research data handling, storage, sharing, and legal compliance.",""
"id-c126a57cdaa242b180ddec7b92b59a46","Capability","Risk Management (copy)","Ability to identify, assess, and mitigate risks related to research data handling, storage, sharing, and legal compliance.",""
"id-d6b7c93b174349fb8e582d60d2fed089","Capability","Scientific computing","Skills in leveraging high-performance computing (HPC) and other advanced computing systems to process and analyze large, complex datasets.",""
"id-e87dc43e3cc44344a4217384ec89498d","Capability","Scientific computing (copy)","Skills in leveraging high-performance computing (HPC) and other advanced computing systems to process and analyze large, complex datasets.",""
"id-fe785d2d74a34fc8aa8c742ba8b9d1a0","Capability","Search Engine Optimization","The ability to optimize metadata and dataset descriptions to ensure that research data is easily discoverable through search engines.",""
"id-e29ea5c6c34c4c4594d30c7d6ea0a470","Capability","Search Engine Optimization (copy)","The ability to optimize metadata and dataset descriptions to ensure that research data is easily discoverable through search engines.",""
"id-0d1cddf61559490da2bf829c867a8d25","Capability","Sensitive Data Architecture","Skills in building data infrastructures that securely store and manage sensitive or confidential information, adhering to privacy regulations. ",""
"id-d70d0088dfec45e791c03b10cc075cfb","Capability","Sensitive Data Architecture (copy)","Skills in building data infrastructures that securely store and manage sensitive or confidential information, adhering to privacy regulations. ",""
"id-fabf263001f347bc8b7ee403aa8e8882","Capability","Service Development","Expertise in developing and enhancing research data services, ensuring they are accessible, user-friendly, and aligned with the needs of researchers and institutions.",""
"id-352d51d150ff457a9a38f1d73acc08a3","Capability","Service Development (copy)","Expertise in developing and enhancing research data services, ensuring they are accessible, user-friendly, and aligned with the needs of researchers and institutions.",""
"id-88fa7707e6bc4bba9c9a6659b88c4c64","Capability","Software Development","Generic expertise in software development and programming languages",""
"id-607a64e1c2774e7d8367fb0aa2fb4d1e","Capability","Software Development (copy)","Generic expertise in software development and programming languages",""
"id-b2681c714ee8426485e005ed76222cf4","Capability","User Management","",""
"id-fd7e03b70020448a901ddb0e9ff56e57","Capability","Workflows, Pipelines and Deployment","Expertise in designing and automating data workflows and pipelines to efficiently process and move data from source to storage and analysis. Skills in using container technologies (e.g., Docker, Kubernetes) to deploy scalable, portable data processing environments.",""
"id-c9646329066c42ffb3b4718d4dd4c4dc","Capability","Workflows, Pipelines and Deployment (copy)","Expertise in designing and automating data workflows and pipelines to efficiently process and move data from source to storage and analysis. Skills in using container technologies (e.g., Docker, Kubernetes) to deploy scalable, portable data processing environments.",""
"id-cbd5551fe1654b84bfce597fe99e9531","ValueStream","Value Stream","",""
"id-ffccfa5493dc432082d3c1258f8cee8a","BusinessActor","Business Actor","",""
"id-b44cd6ed55a648d49df02398675e0a02","BusinessActor","Curator","",""
"id-7f24b7d034e840528e2068c0674d4ce9","BusinessActor","Director","",""
"id-98fa77eb8210446aadcb2a72b3575fdb","BusinessActor","Funder","",""
"id-046412b68241467e841cf54bd140da82","BusinessActor","Project support","",""
"id-591af9fc88994522b8974450cb138bdc","BusinessActor","Publication Support","",""
"id-1d90bb64fa264c84b1caf13713b9ec24","BusinessActor","Research Support","",""
"id-6cc4ef14112740aca52a39f64454a867","BusinessActor","Researcher","",""
"id-c642d92bc6ed4c839a8555d780f5cb19","BusinessActor","Service Owner","",""
"id-c96086e82a3c4a28b78d3d565c52c60e","BusinessActor","Technology support","",""
"id-25b669f4b2fd485187a8863cf5e50043","BusinessCollaboration","Business Collaboration","",""
"id-d92e92ce80764b6b91e7cc871ec5ca7f","BusinessCollaboration","Data Preservation","",""
"id-60eadda102da4b3b938a3ad49a3d440b","BusinessCollaboration","Data Standardization","Collaborative process for developing common standards for data and ensuring that data across different systems or organizations conforms to agreed format and structure.",""
"id-a0af72bbe7fe43e69ec45f25b678ffb6","BusinessCollaboration","FAIR Data Lifecycle","",""
"id-88bdc61b66084512af90cb6b90fdfd62","BusinessCollaboration","Research Data Management","",""
"id-8c22b4aaeedc4b4dbf6a50a61e8af0fc","BusinessEvent","Business Event","",""
"id-ac2621a15c2d4b6986b01ee1dd69d9a6","BusinessFunction","FAIR Data Support","",""
"id-d233737f466f45519da3107b45acfd3f","BusinessFunction","FAIR Publication Support","",""
"id-039b2b7a1d91446f9a68e93031ae1e70","BusinessFunction","FAIR Research Support","",""
"id-139fa7c3e0d34f46a9a57b403c6cb084","BusinessFunction","FAIR Workflow Support","",""
"id-c45faf95dc9142ac9d8b429fe3393116","BusinessFunction","FAIR Workflow Support","",""
"id-a20c7c7d11684fe29996e6daa41bdada","BusinessFunction","Infrastructure Governance","",""
"id-77a46bd4b2b84f639fb085c3df4d63c4","BusinessFunction","Preservation Support","",""
"id-8c56071da1414281a3487296162d0261","BusinessFunction","Project consulting","",""
"id-ef13a534b9b4448e95c8a732a1610e33","BusinessInteraction","Business Interaction","",""
"id-8f352ac54d33412580bf6b3c02d5f3dd","BusinessProcess","Business Process","",""
"id-239e3e8392cf4162a5e1a1aed3d40574","BusinessProcess","Business Process","",""
"id-3fe7012b28a64522885ad34d16b38e9e","BusinessProcess","Consultation and Training","",""
"id-712ac63d0d384d41aca7e118d1ef40e3","BusinessProcess","Data Integration & Interoperability","The process of combining data from different sources and ensuring it works together in a seamless, interoperable manner, allowing systems to share and interpret data effectively.",""
"id-3e0d6db1da5e44a59fd0b5bcb3acae2d","BusinessProcess","Data Management Plan","Encompasses the creation and maintenance of the research plan and data management plan, including preparing for data acquisition, selecting formats and storage solutions, and anticipating sharing and dissemination strategies to guide data management throughout the research lifecycle.",""
